Max Bits,C1 Bits,C2 Bits,FC1 Bits,FC2 Bits,FC3 Bits,Overall,Plane,Car,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
100000,1,4,1,3,4,39.220,35.800,40.000,3.800,43.500,33.400,14.800,51.200,50.800,62.700,56.500
100000,1,4,1,3,5,41.960,67.800,41.200,1.600,15.300,34.000,52.200,74.200,32.800,40.300,58.900
100000,1,4,1,3,6,37.720,66.300,71.100,16.200,36.500,19.300,0.000,64.800,38.700,31.500,33.700
100000,1,4,1,3,7,42.710,24.600,43.300,34.400,5.800,13.100,64.300,64.600,54.700,65.600,56.600
100000,1,4,1,3,8,31.570,6.900,0.100,30.300,10.700,19.700,20.000,72.000,25.700,82.400,47.700
100000,1,5,1,1,1,14.310,5.700,48.700,0.000,0.000,7.300,1.000,0.200,6.100,33.700,40.000
100000,1,5,1,1,2,29.500,19.000,27.800,2.000,15.400,14.600,34.600,64.500,32.800,40.800,43.800
100000,1,5,1,1,3,29.580,65.600,22.600,10.200,0.200,15.400,43.100,75.300,16.500,3.300,44.100
100000,1,5,1,1,4,34.610,35.400,33.000,31.500,48.500,0.100,9.000,58.700,35.000,33.400,61.900
100000,1,5,1,1,5,33.790,58.100,55.800,39.200,18.400,5.100,3.600,60.900,53.900,6.200,37.200
100000,1,5,1,1,6,34.590,39.600,76.600,2.800,19.200,15.200,50.000,48.800,42.900,47.900,3.100
100000,1,5,1,1,7,29.680,21.400,49.000,13.100,45.800,7.800,21.200,30.400,29.700,44.900,33.700
100000,1,5,1,1,8,34.580,0.200,52.300,14.600,35.200,7.900,36.100,59.800,29.700,44.400,65.600
100000,1,5,1,2,1,22.530,5.500,0.200,0.000,0.700,0.700,16.100,38.700,78.500,54.900,30.300
100000,1,5,1,2,2,31.780,24.900,19.700,18.700,49.000,8.700,0.300,60.100,28.700,55.800,51.500
100000,1,5,1,2,3,34.180,4.000,26.500,39.100,7.000,1.400,34.800,52.900,41.700,69.200,65.100
100000,1,5,1,2,4,39.210,66.900,26.600,29.000,15.300,39.500,44.300,51.200,39.400,32.300,45.700
100000,1,5,1,2,5,37.520,24.700,79.200,2.800,28.600,36.400,32.800,76.300,1.800,70.300,23.000
100000,1,5,1,2,6,39.430,22.600,60.300,23.700,26.800,20.400,20.200,78.400,47.100,60.000,35.000
100000,1,5,1,2,7,39.750,66.500,57.500,26.300,22.400,28.800,30.200,55.200,48.400,19.400,44.700
100000,1,5,1,2,8,45.050,51.500,66.000,39.700,12.100,38.200,49.200,48.500,51.300,37.000,56.600
100000,1,5,1,3,1,22.280,60.500,9.000,0.200,0.700,0.000,0.400,82.200,6.100,0.000,63.700
100000,1,5,1,3,2,25.260,3.500,5.300,17.800,56.800,33.600,0.000,16.900,30.700,26.100,62.200
